日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,2,2号线,695949.0,491858.0,525966.0,204091.0,1221915.0,1,元旦,1,1
2025-01-02,2025,1,2,2,2号线,480402.0,326732.0,375670.0,153670.0,856072.0,1,元旦,0,2
2025-01-04,2025,1,4,2,2号线,492142.0,334779.0,394882.0,157363.0,887024.0,8,周末,0,0
2025-01-05,2025,1,5,2,2号线,447203.0,304738.0,362381.0,142465.0,809584.0,8,周末,0,0
2025-01-11,2025,1,11,2,2号线,557697.0,380880.0,453758.0,176817.0,1011455.0,8,周末,0,0
2025-01-12,2025,1,12,2,2号线,526519.0,362586.0,429632.0,163933.0,956151.0,8,周末,0,0
2025-01-18,2025,1,18,2,2号线,528351.0,366281.0,433605.0,162070.0,961956.0,8,周末,0,0
2025-01-19,2025,1,19,2,2号线,524718.0,368854.0,428682.0,155864.0,953400.0,8,周末,0,0
2025-01-25,2025,1,25,2,2号线,346237.0,235248.0,306118.0,110989.0,652355.0,8,周末,0,0
2025-01-26,2025,1,26,2,2号线,378509.0,260377.0,329149.0,118132.0,707658.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,2,2号线,308167.0,210285.0,268528.0,97882.0,576695.0,2,春节,0,0
2025-01-28,2025,1,28,2,2号线,191739.0,135547.0,159974.0,56192.0,351713.0,2,春节,7,1
2025-01-29,2025,1,29,2,2号线,312508.0,229664.0,258058.0,82844.0,570566.0,2,春节,7,2
2025-01-30,2025,1,30,2,2号线,428680.0,319285.0,350248.0,109395.0,778928.0,2,春节,7,3
2025-01-31,2025,1,31,2,2号线,400331.0,300550.0,334749.0,99781.0,735080.0,2,春节,7,4
2025-02-01,2025,2,1,2,2号线,487969.0,362040.0,401051.0,125929.0,889020.0,2,春节,7,5
2025-02-02,2025,2,2,2,2号线,474856.0,347067.0,388932.0,127789.0,863788.0,2,春节,7,6
2025-02-03,2025,2,3,2,2号线,530468.0,389848.0,426165.0,140620.0,956633.0,2,春节,7,7
2025-02-04,2025,2,4,2,2号线,432601.0,282195.0,448536.0,150406.0,881137.0,2,春节,0,8
2025-02-08,2025,2,8,2,2号线,467459.0,301814.0,465548.0,165645.0,933007.0,9,节假日调休补班,0,0
