日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,31,???,17564.0,17564.0,23645.0,0.0,41209.0,1,元旦,1,1
2025-01-02,2025,1,2,31,???,11867.0,11867.0,12718.0,0.0,24585.0,1,元旦,0,2
2025-01-04,2025,1,4,31,???,13081.0,13081.0,11852.0,0.0,24933.0,8,周末,0,0
2025-01-05,2025,1,5,31,???,11525.0,11525.0,10975.0,0.0,22500.0,8,周末,0,0
2025-01-11,2025,1,11,31,???,12195.0,12195.0,10823.0,0.0,23018.0,8,周末,0,0
2025-01-12,2025,1,12,31,???,10909.0,10909.0,10217.0,0.0,21126.0,8,周末,0,0
2025-01-18,2025,1,18,31,???,9998.0,9998.0,9815.0,0.0,19813.0,8,周末,0,0
2025-01-19,2025,1,19,31,???,9830.0,9830.0,9713.0,0.0,19543.0,8,周末,0,0
2025-01-25,2025,1,25,31,???,6746.0,6746.0,6732.0,0.0,13478.0,8,周末,0,0
2025-01-26,2025,1,26,31,???,6694.0,6694.0,7440.0,0.0,14134.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,31,???,5799.0,5799.0,7186.0,0.0,12985.0,2,春节,0,0
2025-01-28,2025,1,28,31,???,3401.0,3401.0,4119.0,0.0,7520.0,2,春节,7,1
2025-01-29,2025,1,29,31,???,5419.0,5419.0,5073.0,0.0,10492.0,2,春节,7,2
2025-01-30,2025,1,30,31,???,6459.0,6459.0,6097.0,0.0,12556.0,2,春节,7,3
2025-01-31,2025,1,31,31,???,4490.0,4490.0,4124.0,0.0,8614.0,2,春节,7,4
2025-02-01,2025,2,1,31,???,5648.0,5648.0,5172.0,0.0,10820.0,2,春节,7,5
2025-02-02,2025,2,2,31,???,6482.0,6482.0,5915.0,0.0,12397.0,2,春节,7,6
2025-02-03,2025,2,3,31,???,8767.0,8767.0,7901.0,0.0,16668.0,2,春节,7,7
2025-02-04,2025,2,4,31,???,7367.0,7367.0,9782.0,0.0,17149.0,2,春节,0,8
2025-02-08,2025,2,8,31,???,7221.0,7221.0,9797.0,0.0,17018.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,31,???,7463.0,7463.0,10172.0,0.0,17635.0,8,周末,0,0
2025-02-15,2025,2,15,31,???,10373.0,10373.0,18417.0,0.0,28790.0,8,周末,0,0
2025-02-16,2025,2,16,31,???,11496.0,11496.0,19468.0,0.0,30964.0,8,周末,0,0
2025-02-22,2025,2,22,31,???,11013.0,11013.0,13948.0,0.0,24961.0,8,周末,0,0
2025-02-23,2025,2,23,31,???,10701.0,10701.0,16548.0,0.0,27249.0,8,周末,0,0
2025-03-01,2025,3,1,31,???,38789.0,20204.0,19584.0,18585.0,58373.0,8,周末,0,0
2025-03-02,2025,3,2,31,???,30301.0,15963.0,18745.0,14338.0,49046.0,8,周末,0,0
2025-03-08,2025,3,8,31,???,36003.0,18896.0,17538.0,17107.0,53541.0,8,周末,0,0
2025-03-09,2025,3,9,31,???,29466.0,15555.0,18291.0,13911.0,47757.0,8,周末,0,0
2025-03-15,2025,3,15,31,???,29261.0,15327.0,14474.0,13934.0,43735.0,8,周末,0,0
2025-03-16,2025,3,16,31,???,33878.0,17908.0,20782.0,15970.0,54660.0,8,周末,0,0
2025-03-22,2025,3,22,31,???,37798.0,19781.0,19108.0,18017.0,56906.0,8,周末,0,0
2025-03-23,2025,3,23,31,???,31941.0,16863.0,19956.0,15078.0,51897.0,8,周末,0,0
2025-03-29,2025,3,29,31,???,24915.0,13110.0,12627.0,11805.0,37542.0,8,周末,0,0
2025-03-30,2025,3,30,31,???,26112.0,13767.0,15226.0,12345.0,41338.0,8,周末,0,0
2025-04-03,2025,4,3,31,???,45876.0,24068.0,19218.0,21808.0,65094.0,3,清明节,0,0
2025-04-04,2025,4,4,31,???,38203.0,20010.0,16986.0,18193.0,55189.0,3,清明节,3,1
2025-04-05,2025,4,5,31,???,40095.0,21014.0,21202.0,19081.0,61297.0,3,清明节,3,2
2025-04-06,2025,4,6,31,???,38022.0,20269.0,27101.0,17753.0,65123.0,3,清明节,3,3
