日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,83,互联网平台,0.0,0.0,48139.0,0.0,48139.0,1,元旦,1,1
2025-01-02,2025,1,2,83,互联网平台,0.0,0.0,44289.0,0.0,44289.0,1,元旦,0,2
2025-01-04,2025,1,4,83,互联网平台,0.0,0.0,43271.0,0.0,43271.0,8,周末,0,0
2025-01-05,2025,1,5,83,互联网平台,0.0,0.0,42003.0,0.0,42003.0,8,周末,0,0
2025-01-11,2025,1,11,83,互联网平台,0.0,0.0,42996.0,0.0,42996.0,8,周末,0,0
2025-01-12,2025,1,12,83,互联网平台,0.0,0.0,41849.0,0.0,41849.0,8,周末,0,0
2025-01-18,2025,1,18,83,互联网平台,0.0,0.0,40265.0,0.0,40265.0,8,周末,0,0
2025-01-19,2025,1,19,83,互联网平台,0.0,0.0,39840.0,0.0,39840.0,8,周末,0,0
2025-01-25,2025,1,25,83,互联网平台,0.0,0.0,32848.0,0.0,32848.0,8,周末,0,0
2025-01-26,2025,1,26,83,互联网平台,0.0,0.0,32134.0,0.0,32134.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,83,互联网平台,0.0,0.0,29281.0,0.0,29281.0,2,春节,0,0
2025-01-28,2025,1,28,83,互联网平台,0.0,0.0,24493.0,0.0,24493.0,2,春节,7,1
2025-01-29,2025,1,29,83,互联网平台,0.0,0.0,25776.0,0.0,25776.0,2,春节,7,2
2025-01-30,2025,1,30,83,互联网平台,0.0,0.0,26418.0,0.0,26418.0,2,春节,7,3
2025-01-31,2025,1,31,83,互联网平台,0.0,0.0,25653.0,0.0,25653.0,2,春节,7,4
2025-02-01,2025,2,1,83,互联网平台,0.0,0.0,27459.0,0.0,27459.0,2,春节,7,5
2025-02-02,2025,2,2,83,互联网平台,0.0,0.0,28944.0,0.0,28944.0,2,春节,7,6
2025-02-03,2025,2,3,83,互联网平台,0.0,0.0,32262.0,0.0,32262.0,2,春节,7,7
2025-02-04,2025,2,4,83,互联网平台,0.0,0.0,36516.0,0.0,36516.0,2,春节,0,8
2025-02-08,2025,2,8,83,互联网平台,0.0,0.0,39671.0,0.0,39671.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,83,互联网平台,0.0,0.0,39113.0,0.0,39113.0,8,周末,0,0
2025-02-15,2025,2,15,83,互联网平台,0.0,0.0,42848.0,0.0,42848.0,8,周末,0,0
2025-02-16,2025,2,16,83,互联网平台,0.0,0.0,42270.0,0.0,42270.0,8,周末,0,0
2025-02-22,2025,2,22,83,互联网平台,0.0,0.0,42834.0,0.0,42834.0,8,周末,0,0
2025-02-23,2025,2,23,83,互联网平台,0.0,0.0,42629.0,0.0,42629.0,8,周末,0,0
2025-03-01,2025,3,1,83,互联网平台,0.0,0.0,47233.0,0.0,47233.0,8,周末,0,0
2025-03-02,2025,3,2,83,互联网平台,0.0,0.0,41567.0,0.0,41567.0,8,周末,0,0
