日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,60,磁浮快线,5181.0,5181.0,5163.0,0.0,10344.0,1,元旦,1,1
2025-01-02,2025,1,2,60,磁浮快线,4880.0,4880.0,4872.0,0.0,9752.0,1,元旦,0,2
2025-01-04,2025,1,4,60,磁浮快线,4977.0,4977.0,4951.0,0.0,9928.0,8,周末,0,0
2025-01-05,2025,1,5,60,磁浮快线,5628.0,5628.0,5607.0,0.0,11235.0,8,周末,0,0
2025-01-11,2025,1,11,60,磁浮快线,5805.0,5805.0,5799.0,0.0,11604.0,8,周末,0,0
2025-01-12,2025,1,12,60,磁浮快线,5811.0,5811.0,5794.0,0.0,11605.0,8,周末,0,0
2025-01-18,2025,1,18,60,磁浮快线,6062.0,6062.0,6040.0,0.0,12102.0,8,周末,0,0
2025-01-19,2025,1,19,60,磁浮快线,6004.0,6004.0,5978.0,0.0,11982.0,8,周末,0,0
2025-01-25,2025,1,25,60,磁浮快线,7220.0,7220.0,7186.0,0.0,14406.0,8,周末,0,0
2025-01-26,2025,1,26,60,磁浮快线,7300.0,7300.0,7285.0,0.0,14585.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,60,磁浮快线,7895.0,7895.0,7882.0,0.0,15777.0,2,春节,0,0
2025-01-28,2025,1,28,60,磁浮快线,6319.0,6319.0,6295.0,0.0,12614.0,2,春节,7,1
2025-01-29,2025,1,29,60,磁浮快线,6411.0,6411.0,6372.0,0.0,12783.0,2,春节,7,2
2025-01-30,2025,1,30,60,磁浮快线,8442.0,8442.0,8401.0,0.0,16843.0,2,春节,7,3
2025-01-31,2025,1,31,60,磁浮快线,7971.0,7971.0,7933.0,0.0,15904.0,2,春节,7,4
2025-02-01,2025,2,1,60,磁浮快线,7815.0,7815.0,7782.0,0.0,15597.0,2,春节,7,5
2025-02-02,2025,2,2,60,磁浮快线,6926.0,6926.0,6903.0,0.0,13829.0,2,春节,7,6
2025-02-03,2025,2,3,60,磁浮快线,6936.0,6936.0,6905.0,0.0,13841.0,2,春节,7,7
2025-02-04,2025,2,4,60,磁浮快线,1828.0,1828.0,6807.0,0.0,8635.0,2,春节,0,8
2025-02-08,2025,2,8,60,磁浮快线,1503.0,1503.0,6375.0,0.0,7878.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,60,磁浮快线,1539.0,1539.0,6411.0,0.0,7950.0,8,周末,0,0
2025-02-15,2025,2,15,60,磁浮快线,2398.0,2398.0,7213.0,0.0,9611.0,8,周末,0,0
2025-02-16,2025,2,16,60,磁浮快线,2533.0,2533.0,7104.0,0.0,9637.0,8,周末,0,0
2025-02-22,2025,2,22,60,磁浮快线,2050.0,2050.0,6180.0,0.0,8230.0,8,周末,0,0
2025-02-23,2025,2,23,60,磁浮快线,2105.0,2105.0,6043.0,0.0,8148.0,8,周末,0,0
2025-03-01,2025,3,1,60,磁浮快线,5254.0,5254.0,5230.0,0.0,10484.0,8,周末,0,0
2025-03-02,2025,3,2,60,磁浮快线,5161.0,5161.0,5157.0,0.0,10318.0,8,周末,0,0
2025-03-08,2025,3,8,60,磁浮快线,4624.0,4624.0,4617.0,0.0,9241.0,8,周末,0,0
2025-03-09,2025,3,9,60,磁浮快线,4992.0,4992.0,4967.0,0.0,9959.0,8,周末,0,0
2025-03-15,2025,3,15,60,磁浮快线,4641.0,4641.0,4637.0,0.0,9278.0,8,周末,0,0
2025-03-16,2025,3,16,60,磁浮快线,4797.0,4797.0,4785.0,0.0,9582.0,8,周末,0,0
2025-03-22,2025,3,22,60,磁浮快线,4308.0,4308.0,4292.0,0.0,8600.0,8,周末,0,0
2025-03-23,2025,3,23,60,磁浮快线,4480.0,4480.0,4469.0,0.0,8949.0,8,周末,0,0
2025-03-29,2025,3,29,60,磁浮快线,4797.0,4797.0,4786.0,0.0,9583.0,8,周末,0,0
2025-03-30,2025,3,30,60,磁浮快线,5100.0,5100.0,5085.0,0.0,10185.0,8,周末,0,0
2025-04-03,2025,4,3,60,磁浮快线,6625.0,6625.0,6588.0,0.0,13213.0,3,清明节,0,0
2025-04-04,2025,4,4,60,磁浮快线,5646.0,5646.0,5621.0,0.0,11267.0,3,清明节,3,1
2025-04-05,2025,4,5,60,磁浮快线,5945.0,5945.0,5925.0,0.0,11870.0,3,清明节,3,2
2025-04-06,2025,4,6,60,磁浮快线,6240.0,6240.0,6225.0,0.0,12465.0,3,清明节,3,3
2025-04-07,2025,4,7,60,磁浮快线,5933.0,5933.0,5914.0,0.0,11847.0,3,清明节,0,4
2025-04-12,2025,4,12,60,磁浮快线,4459.0,4459.0,4441.0,0.0,8900.0,8,周末,0,0
2025-04-13,2025,4,13,60,磁浮快线,4781.0,4781.0,4767.0,0.0,9548.0,8,周末,0,0
2025-04-19,2025,4,19,60,磁浮快线,4369.0,4369.0,4349.0,0.0,8718.0,8,周末,0,0
2025-04-20,2025,4,20,60,磁浮快线,4785.0,4785.0,4779.0,0.0,9564.0,8,周末,0,0
2025-04-26,2025,4,26,60,磁浮快线,4976.0,4976.0,4956.0,0.0,9932.0,8,周末,0,0
2025-04-27,2025,4,27,60,磁浮快线,4923.0,4923.0,4913.0,0.0,9836.0,9,节假日调休补班,0,0
2025-04-30,2025,4,30,60,磁浮快线,5932.0,5932.0,5914.0,0.0,11846.0,4,五一劳动节,0,0
2025-05-01,2025,5,1,60,磁浮快线,6294.0,6294.0,6245.0,0.0,12539.0,4,五一劳动节,5,1
2025-05-02,2025,5,2,60,磁浮快线,7200.0,7200.0,7179.0,0.0,14379.0,4,五一劳动节,5,2
2025-05-03,2025,5,3,60,磁浮快线,6997.0,6997.0,6978.0,0.0,13975.0,4,五一劳动节,5,3
2025-05-04,2025,5,4,60,磁浮快线,6194.0,6194.0,6171.0,0.0,12365.0,4,五一劳动节,5,4
