日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,0,线网,2665152.0,1737707.0,1801927.0,927445.0,4467079.0,1,元旦,1,1
2025-01-02,2025,1,2,0,线网,2141997.0,1411583.0,1457843.0,730414.0,3599840.0,1,元旦,0,2
2025-01-04,2025,1,4,0,线网,2040563.0,1349602.0,1392873.0,690961.0,3433436.0,8,周末,0,0
2025-01-05,2025,1,5,0,线网,1871462.0,1238011.0,1280661.0,633451.0,3152123.0,8,周末,0,0
2025-01-11,2025,1,11,0,线网,2189204.0,1449968.0,1490304.0,739236.0,3679508.0,8,周末,0,0
2025-01-12,2025,1,12,0,线网,2043921.0,1356437.0,1396427.0,687484.0,3440348.0,8,周末,0,0
2025-01-18,2025,1,18,0,线网,2058744.0,1369038.0,1406361.0,689706.0,3465105.0,8,周末,0,0
2025-01-19,2025,1,19,0,线网,1964334.0,1310191.0,1347146.0,654143.0,3311480.0,8,周末,0,0
2025-01-25,2025,1,25,0,线网,1253049.0,845274.0,878428.0,407775.0,2131477.0,8,周末,0,0
2025-01-26,2025,1,26,0,线网,1307838.0,889018.0,918301.0,418820.0,2226139.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,0,线网,1017125.0,692426.0,717714.0,324699.0,1734839.0,2,春节,0,0
2025-01-28,2025,1,28,0,线网,638716.0,434024.0,453620.0,204692.0,1092336.0,2,春节,7,1
2025-01-29,2025,1,29,0,线网,920428.0,631835.0,642402.0,288593.0,1562830.0,2,春节,7,2
2025-01-30,2025,1,30,0,线网,1176743.0,808754.0,809982.0,367989.0,1986725.0,2,春节,7,3
2025-01-31,2025,1,31,0,线网,1088020.0,748996.0,757857.0,339024.0,1845877.0,2,春节,7,4
2025-02-01,2025,2,1,0,线网,1364480.0,930720.0,935460.0,433760.0,2299940.0,2,春节,7,5
2025-02-02,2025,2,2,0,线网,1435200.0,970431.0,980369.0,464769.0,2415569.0,2,春节,7,6
2025-02-03,2025,2,3,0,线网,1684454.0,1137910.0,1144218.0,546544.0,2828672.0,2,春节,7,7
2025-02-04,2025,2,4,0,线网,1511092.0,886775.0,1296233.0,624317.0,2807325.0,2,春节,0,8
2025-02-08,2025,2,8,0,线网,1794130.0,1067785.0,1503393.0,726345.0,3297523.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,0,线网,1643180.0,973262.0,1397904.0,669918.0,3041084.0,8,周末,0,0
2025-02-15,2025,2,15,0,线网,1820677.0,1081250.0,1487626.0,739427.0,3308303.0,8,周末,0,0
2025-02-16,2025,2,16,0,线网,1753238.0,1035166.0,1426771.0,718072.0,3180009.0,8,周末,0,0
2025-02-22,2025,2,22,0,线网,1812973.0,1077454.0,1450595.0,735519.0,3263568.0,8,周末,0,0
2025-02-23,2025,2,23,0,线网,1759199.0,1042934.0,1420115.0,716265.0,3179314.0,8,周末,0,0
2025-03-01,2025,3,1,0,线网,3455236.0,1826960.0,1868813.0,1628276.0,5324049.0,8,周末,0,0
2025-03-02,2025,3,2,0,线网,2768055.0,1436305.0,1477955.0,1331750.0,4246010.0,8,周末,0,0
2025-03-08,2025,3,8,0,线网,3474784.0,1832291.0,1872344.0,1642493.0,5347128.0,8,周末,0,0
2025-03-09,2025,3,9,0,线网,2695405.0,1388762.0,1428371.0,1306643.0,4123776.0,8,周末,0,0
2025-03-15,2025,3,15,0,线网,2809688.0,1482437.0,1524363.0,1327251.0,4334051.0,8,周末,0,0
2025-03-16,2025,3,16,0,线网,3068054.0,1599020.0,1638191.0,1469034.0,4706245.0,8,周末,0,0
2025-03-22,2025,3,22,0,线网,3614134.0,1916445.0,1952645.0,1697689.0,5566779.0,8,周末,0,0
2025-03-23,2025,3,23,0,线网,3081004.0,1601951.0,1640870.0,1479053.0,4721874.0,8,周末,0,0
2025-03-29,2025,3,29,0,线网,2438022.0,1287724.0,1326231.0,1150298.0,3764253.0,8,周末,0,0
2025-03-30,2025,3,30,0,线网,2555650.0,1346945.0,1383563.0,1208705.0,3939213.0,8,周末,0,0
2025-04-03,2025,4,3,0,线网,3668279.0,1856779.0,1904373.0,1811500.0,5572652.0,3,清明节,0,0
2025-04-04,2025,4,4,0,线网,3249663.0,1706789.0,1739968.0,1542874.0,4989631.0,3,清明节,3,1
2025-04-05,2025,4,5,0,线网,3487120.0,1849823.0,1877944.0,1637297.0,5365064.0,3,清明节,3,2
