f_date,f_year,f_DayOfWeek,f_week,f_HolidayType,f_HolidayDays,f_HolidayWhichDay,COVID19,f_weather
20171211,2017,1,50,0,0,0,0,15
20171212,2017,2,50,0,0,0,0,15
20171213,2017,3,50,0,0,0,0,15
20171214,2017,4,50,0,0,0,0,15
20171215,2017,5,50,0,0,0,0,15
20171216,2017,6,50,8,0,0,0,15
20171217,2017,7,50,8,0,0,0,15
20171218,2017,1,51,0,0,0,0,15
20171219,2017,2,51,0,0,0,0,15
20171220,2017,3,51,0,0,0,0,15
20171221,2017,4,51,0,0,0,0,15
20171222,2017,5,51,0,0,0,0,15
20171223,2017,6,51,8,0,0,0,15
20171224,2017,7,51,8,0,0,0,15
20171225,2017,1,52,0,0,0,0,15
20171226,2017,2,52,0,0,0,0,15
20171227,2017,3,52,0,0,0,0,15
20171228,2017,4,52,0,0,0,0,15
20171229,2017,5,52,1,0,0,0,15
20171230,2017,6,52,1,3,1,0,15
20171231,2017,7,52,1,3,2,0,15
20180101,2018,1,1,1,3,3,0,15
20180102,2018,2,1,1,0,4,0,15
20180103,2018,3,1,0,0,0,0,15
20180104,2018,4,1,0,0,0,0,15
20180105,2018,5,1,0,0,0,0,15
20180106,2018,6,1,8,0,0,0,15
20180107,2018,7,1,8,0,0,0,15
20180108,2018,1,2,0,0,0,0,15
20180109,2018,2,2,0,0,0,0,15
20180110,2018,3,2,0,0,0,0,15
20180111,2018,4,2,0,0,0,0,15
20180112,2018,5,2,0,0,0,0,15
20180113,2018,6,2,8,0,0,0,15
20180114,2018,7,2,8,0,0,0,15
20180115,2018,1,3,0,0,0,0,15
20180116,2018,2,3,0,0,0,0,15
20180117,2018,3,3,0,0,0,0,15
20180118,2018,4,3,0,0,0,0,15
20180119,2018,5,3,0,0,0,0,15
20180120,2018,6,3,8,0,0,0,15
20180121,2018,7,3,8,0,0,0,15
20180122,2018,1,4,0,0,0,0,15
20180123,2018,2,4,0,0,0,0,15
20180124,2018,3,4,0,0,0,0,15
20180125,2018,4,4,0,0,0,0,15
20180126,2018,5,4,0,0,0,0,15
20180127,2018,6,4,8,0,0,0,15
20180128,2018,7,4,8,0,0,0,15
20180129,2018,1,5,0,0,0,0,15
20180130,2018,2,5,0,0,0,0,15
20180131,2018,3,5,0,0,0,0,15
20180201,2018,4,5,0,0,0,0,15
20180202,2018,5,5,0,0,0,0,15
20180203,2018,6,5,8,0,0,0,15
20180204,2018,7,5,8,0,0,0,15
20180205,2018,1,6,0,0,0,0,15
20180206,2018,2,6,0,0,0,0,15
20180207,2018,3,6,0,0,0,0,15
20180208,2018,4,6,0,0,0,0,15
20180209,2018,5,6,0,0,0,0,15
20180210,2018,6,6,2,0,0,0,15
20180211,2018,7,6,2,11,1,0,15
20180212,2018,1,7,2,11,2,0,15
20180213,2018,2,7,2,11,3,0,15
20180214,2018,3,7,2,11,4,0,15
20180215,2018,4,7,2,11,5,0,15
20180216,2018,5,7,2,11,6,0,15
20180217,2018,6,7,2,11,7,0,15
20180218,2018,7,7,2,11,8,0,15
20180219,2018,1,8,2,11,9,0,15
20180220,2018,2,8,2,11,10,0,15
20180221,2018,3,8,2,11,11,0,15
20180222,2018,4,8,2,0,12,0,15
20180223,2018,5,8,0,0,0,0,15
20180224,2018,6,8,9,0,0,0,15
20180225,2018,7,8,8,0,0,0,15
20180226,2018,1,9,0,0,0,0,15
20180227,2018,2,9,0,0,0,0,15
20180228,2018,3,9,0,0,0,0,15
20180301,2018,4,9,0,0,0,0,15
20180302,2018,5,9,0,0,0,0,15
20180303,2018,6,9,8,0,0,0,15
20180304,2018,7,9,8,0,0,0,15
20180305,2018,1,10,0,0,0,0,15
20180306,2018,2,10,0,0,0,0,15
20180307,2018,3,10,0,0,0,0,15
20180308,2018,4,10,0,0,0,0,15
20180309,2018,5,10,0,0,0,0,15
20180310,2018,6,10,8,0,0,0,15
20180311,2018,7,10,8,0,0,0,15
20180312,2018,1,11,0,0,0,0,15
20180313,2018,2,11,0,0,0,0,15
20180314,2018,3,11,0,0,0,0,15
20180315,2018,4,11,0,0,0,0,15
20180316,2018,5,11,0,0,0,0,15
20180317,2018,6,11,8,0,0,0,15
