日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,4,4号线,232265.0,104072.0,72465.0,128193.0,304730.0,1,元旦
2023-01-01,2023,01-01,4,4号线,180528.0,78053.0,66917.0,102475.0,247445.0,1,元旦
2023-01-02,2023,01-02,4,4号线,201032.0,89721.0,72518.0,111311.0,273550.0,1,元旦
2023-01-03,2023,01-03,4,4号线,214775.0,91378.0,79049.0,123397.0,293824.0,1,元旦
2023-12-31,2023,12-31,4,4号线,650864.0,281359.0,211664.0,369505.0,862528.0,1,元旦
2024-01-01,2024,01-01,4,4号线,595340.0,245518.0,240053.0,349822.0,835393.0,1,元旦
2024-01-02,2024,01-02,4,4号线,419007.0,191477.0,170440.0,227530.0,589447.0,1,元旦
2024-12-31,2024,12-31,4,4号线,631630.0,295439.0,253193.0,336191.0,884823.0,1,元旦
2025-01-01,2025,01-01,4,4号线,381493.0,214581.0,208648.0,166912.0,590141.0,1,元旦
2025-01-02,2025,01-02,4,4号线,344601.0,208654.0,187968.0,135947.0,532569.0,1,元旦
