日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,83,互联网平台,0.0,0.0,63603.0,0.0,63603.0,1,元旦
2023-01-01,2023,01-01,83,互联网平台,0.0,0.0,59841.0,0.0,59841.0,1,元旦
2023-01-02,2023,01-02,83,互联网平台,0.0,0.0,59625.0,0.0,59625.0,1,元旦
2023-01-03,2023,01-03,83,互联网平台,0.0,0.0,63226.0,0.0,63226.0,1,元旦
2023-12-31,2023,12-31,83,互联网平台,0.0,0.0,94042.0,0.0,94042.0,1,元旦
2024-01-01,2024,01-01,83,互联网平台,0.0,0.0,78265.0,0.0,78265.0,1,元旦
2024-01-02,2024,01-02,83,互联网平台,0.0,0.0,63147.0,0.0,63147.0,1,元旦
2024-12-31,2024,12-31,83,互联网平台,0.0,0.0,56243.0,0.0,56243.0,1,元旦
2025-01-01,2025,01-01,83,互联网平台,0.0,0.0,48139.0,0.0,48139.0,1,元旦
2025-01-02,2025,01-02,83,互联网平台,0.0,0.0,44289.0,0.0,44289.0,1,元旦
