日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,60,磁浮快线,3022.0,3022.0,3013.0,0.0,6035.0,1,元旦
2023-01-01,2023,01-01,60,磁浮快线,2215.0,2215.0,2209.0,0.0,4424.0,1,元旦
2023-01-02,2023,01-02,60,磁浮快线,3201.0,3201.0,3197.0,0.0,6398.0,1,元旦
2023-01-03,2023,01-03,60,磁浮快线,2786.0,2786.0,2784.0,0.0,5570.0,1,元旦
2023-12-31,2023,12-31,60,磁浮快线,5598.0,5598.0,5549.0,0.0,11147.0,1,元旦
2024-01-01,2024,01-01,60,磁浮快线,5654.0,5654.0,5702.0,0.0,11356.0,1,元旦
2024-01-02,2024,01-02,60,磁浮快线,5712.0,5712.0,5700.0,0.0,11412.0,1,元旦
2024-12-31,2024,12-31,60,磁浮快线,5215.0,5215.0,5198.0,0.0,10413.0,1,元旦
2025-01-01,2025,01-01,60,磁浮快线,5181.0,5181.0,5163.0,0.0,10344.0,1,元旦
2025-01-02,2025,01-02,60,磁浮快线,4880.0,4880.0,4872.0,0.0,9752.0,1,元旦
