日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,0,线网,1371201.0,733832.0,795264.0,637369.0,2166465.0,1,元旦
2023-01-01,2023,01-01,0,线网,1204685.0,653922.0,709472.0,550763.0,1914157.0,1,元旦
2023-01-02,2023,01-02,0,线网,1135452.0,593914.0,654812.0,541538.0,1790264.0,1,元旦
2023-01-03,2023,01-03,0,线网,1375279.0,729331.0,797985.0,645948.0,2173264.0,1,元旦
2023-12-31,2023,12-31,0,线网,4188948.0,2234517.0,2077376.0,1954431.0,6266324.0,1,元旦
2024-01-01,2024,01-01,0,线网,3633553.0,1814227.0,2104832.0,1819326.0,5738385.0,1,元旦
2024-01-02,2024,01-02,0,线网,2464207.0,1267493.0,1337850.0,1196714.0,3802057.0,1,元旦
2024-12-31,2024,12-31,0,线网,4018726.0,2185588.0,2221459.0,1833138.0,6240185.0,1,元旦
2025-01-01,2025,01-01,0,线网,2665152.0,1737707.0,1801927.0,927445.0,4467079.0,1,元旦
2025-01-02,2025,01-02,0,线网,2141997.0,1411583.0,1457843.0,730414.0,3599840.0,1,元旦
